params,feats,avg_loss,avg_acc
"{""n_estimators"": 50, ""learning_rate"": 0.1, ""num_leaves"": 7, ""max_depth"": 2, ""min_child_samples"": 20}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9499465091882099,0.578125
"{""n_estimators"": 50, ""learning_rate"": 0.1, ""num_leaves"": 15, ""max_depth"": 2, ""min_child_samples"": 20}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9499465091882099,0.578125
"{""n_estimators"": 50, ""learning_rate"": 0.1, ""num_leaves"": 31, ""max_depth"": 2, ""min_child_samples"": 20}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9499465091882099,0.578125
"{""n_estimators"": 100, ""learning_rate"": 0.03, ""num_leaves"": 7, ""max_depth"": 2, ""min_child_samples"": 20}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9516146443089581,0.5875
"{""n_estimators"": 100, ""learning_rate"": 0.03, ""num_leaves"": 15, ""max_depth"": 2, ""min_child_samples"": 20}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9516146443089581,0.5875
"{""n_estimators"": 100, ""learning_rate"": 0.03, ""num_leaves"": 31, ""max_depth"": 2, ""min_child_samples"": 20}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9516146443089581,0.5875
"{""n_estimators"": 200, ""learning_rate"": 0.03, ""num_leaves"": 15, ""max_depth"": 2, ""min_child_samples"": 20}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9525230201215233,0.578125
"{""n_estimators"": 200, ""learning_rate"": 0.03, ""num_leaves"": 31, ""max_depth"": 2, ""min_child_samples"": 20}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9525230201215233,0.578125
"{""n_estimators"": 200, ""learning_rate"": 0.03, ""num_leaves"": 7, ""max_depth"": 2, ""min_child_samples"": 20}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9525230201215233,0.578125
"{""n_estimators"": 200, ""learning_rate"": 0.01, ""num_leaves"": 15, ""max_depth"": 2, ""min_child_samples"": 20}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9549309242196531,0.5875
